reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,bank
f45d9c1b-bec1-41ba-b085-7a6a94d9d91a,Sharaf Jamal,https://play-lh.googleusercontent.com/a/ACg8ocLEo5k2wh6DVGDQ21myW7kwu2WGCxWfbaus_JyiG79kSKXctg=mo,wow,5,0,,2025-05-27 10:54:43,,,,DASHEN
115f7455-45c0-483c-b690-0e83dada584b,Limited Access,https://play-lh.googleusercontent.com/a/ACg8ocI9qj6LXcUquGKbZk37jzlNa781tuBvaBQAeRQbW9G4rrwCow=mo,useless app ever loading take long,1,0,,2025-05-27 09:19:32,,,,DASHEN
b2962d2d-86b8-43a5-ab14-d9d37ad03165,Mohammed Asefa,https://play-lh.googleusercontent.com/a-/ALV-UjXjGQItnYBgUBKScXR5_7FYirz0EsMwcS5XsuRQu_MwRsfw-iw9,"Game changer app! Dashen Bank Super App is fast, secure, and easy to use. The three-click payment makes sending money super quick, and the QR code payment is perfect for cashless shopping. I also love the biometric login and easy airtime and bill payments. Everything I need is in one place. Dashen Bank has really raised the bar for digital banking in Ethiopia. Highly recommended!",5,19,1.0.16,2025-05-26 19:16:29,,,1.0.16,DASHEN
37afb22a-56f0-429c-9bab-41e39e524f29,Diress Gashaye,https://play-lh.googleusercontent.com/a-/ALV-UjVmWLWnnlFHiJba108ag1s77Ud3Bty85GKWV5-kkLrjETILs81u,very useful App,1,0,1.0.16,2025-05-26 13:10:58,,,1.0.16,DASHEN
aa332503-7097-479d-89d9-6b762bb9e814,Abebe Biru,https://play-lh.googleusercontent.com/a-/ALV-UjWFHZqa891PxzJDeUBQI5PSh90aEOO2jTrnnEKtGxCLWeTGZbX0,"Simple, robust features? Yes, please! But the endless loading screen killed the fun—I couldn’t use it for days. Fix the glitch, and I’ll yeet a higher rating!",2,0,,2025-05-26 08:21:54,,,,DASHEN
a2a494de-d576-48dc-b67e-04fe79ec47b2,ፅናት Natiፅናት,https://play-lh.googleusercontent.com/a/ACg8ocIAzk2zHzDx6GVBKdZrJo70noKmvtzZQmnWI6y3Jhmljg0BNkk=mo,Wawww,5,1,1.0.14,2025-05-24 16:55:43,,,1.0.14,DASHEN
46d39a4d-52de-4a73-9146-654d971ffb71,Derso Marye,https://play-lh.googleusercontent.com/a/ACg8ocIxI3Z0ncBeYxeDKnx3dYWQ6CbDFZW-OWXo7HCmv6IzwiQvbw=mo,it is good but some times says duplicate transaction why?,5,0,1.0.16,2025-05-24 08:07:56,,,1.0.16,DASHEN
e2c02e65-3be7-46e0-9cbc-7d4295bee6f7,Birhanu tasfawu,https://play-lh.googleusercontent.com/a-/ALV-UjU8rUCOltbrKtHiWWq1-9HhfHbwTUvgmYICVdFC0s4eOcG0CoU,very Nice,5,0,,2025-05-23 12:09:24,,,,DASHEN
eb8a2948-44de-4f81-ac9f-b73840619f7f,tefera mulu,https://play-lh.googleusercontent.com/a-/ALV-UjVpCDhPl0UhLC65njP-qTrlCXmvNU6U6sh0dUoyp52N4Q8RGdU,its best,5,1,,2025-05-23 03:53:15,,,,DASHEN
9a583630-4540-44cb-8488-cf58211da392,Masresha Letik,https://play-lh.googleusercontent.com/a-/ALV-UjUWMmyclPGvZNTkiyYPCNkG4XV69jr20JULWCZfJrWtx_cSkuc,it is not as good as to the other mobile bank app.,1,0,,2025-05-22 19:35:38,,,,DASHEN
bb72bc30-a3bb-468f-ad15-1ca88c7897ae,Elias Yusuf,https://play-lh.googleusercontent.com/a-/ALV-UjV6SLyClxlDjRsgEnHi3iI-ypiuus5NhYMDvqCBgvFvt_PwGOVk,"The best of best is now arrived **Empowering Your Financial Freedom** ""Experience seamless banking at your fingertips with Dashen Bank. Empowering your financial freedom, anytime, anywhere!"" **Innovation Meets Convenience** ""Dashen Bank Mobile Banking: Where innovation meets convenience. **Secure and Reliable** ""Bank with confidence",5,3,1.0.16,2025-05-22 09:42:22,,,1.0.16,DASHEN
b5aa7d58-de59-4feb-bae3-88c98dc3007c,Phonetastic Samsung,https://play-lh.googleusercontent.com/a/ACg8ocIgXpcCE4R9IuWaQ9DcBDQvc9CmTtR9Yxz2PN_1FqV-HIYC0w=mo,wow,5,1,,2025-05-20 14:32:56,,,,DASHEN
c8a76cee-dbcc-491e-9aa0-0f8fa423ee1a,Dereje Aseffa,https://play-lh.googleusercontent.com/a-/ALV-UjVFpQ-anfguFShSohhjR37e0XoMCk327525h8eLTWTUI1X4GXbx,Nothing is changed in the updated version. You have been collecting comments but where is the feed back you improved in this version. superapp is mot functioning today.,4,28,1.0.14,2025-05-20 13:22:54,,,1.0.14,DASHEN
add25431-5b8a-4878-b820-2cc1c06926f1,Musa Akmel,https://play-lh.googleusercontent.com/a/ACg8ocLW_cKvdvZ6wLo2Bph0hlyKBzBcpbdkQTgeF-8Rsfc28Ejtew=mo,good,5,0,,2025-05-20 09:42:35,,,,DASHEN
7f8c28d9-8bd2-4bf5-b220-b520301c24c3,Olana Degefa,https://play-lh.googleusercontent.com/a/ACg8ocIB4iz_-olLxsaaeJ4ACQMNRE4lPWwTmNblnSHgrYeAQiPvdA=mo,its best,5,0,,2025-05-19 09:00:24,,,,DASHEN
a36489c7-0091-4e07-897f-78168bcb64b4,Henok Gezmu,https://play-lh.googleusercontent.com/a/ACg8ocKGPArferoNTO5xWxJJj84fmaXws0gALJRTrUKBpDfiNwEwhw=mo,The best app ever in finance sector,5,0,1.0.16,2025-05-18 22:01:50,,,1.0.16,DASHEN
